19,0,24,12,23,0
19,0,24,11,24,0
24,3,24,14,24,1
24,0,24,18,24,0
20,0,24,11,22,0
22,0,24,14,22,0
24,3,24,11,24,1
23,3,24,13,24,1
23,0,24,17,24,0
18,0,24,11,23,0
18,0,24,10,24,0
22,2,24,13,24,1
22,0,24,16,24,0
23,2,24,11,24,1
21,0,24,14,23,0
17,0,24,9,24,1
23,2,24,12,24,1
17,0,24,10,23,0
22,0,24,15,23,0
22,2,24,14,24,0
24,0,24,15,23,1
20,1,24,12,24,1
20,0,24,14,24,0
21,0,24,11,20,0
20,1,24,10,24,1
19,0,24,12,24,0
22,2,24,12,24,1
23,0,24,14,22,1
18,0,24,11,24,0
15,4,24,5,24,0
15,5,24,4,24,0
17,0,24,10,24,0
15,3,24,6,24,0
15,3,24,5,24,1
20,1,24,13,24,0
21,1,24,13,24,1
22,0,24,12,22,2
22,0,24,13,22,1
23,3,24,14,24,0
24,0,24,16,22,0
24,1,24,16,24,1
24,1,24,17,24,0
24,1,24,13,24,1
24,1,24,14,23,0
24,1,24,15,22,0
23,1,24,12,23,1
24,2,24,12,24,1
23,1,24,15,24,0
23,1,24,16,24,0
22,0,24,13,24,0
24,2,24,13,23,0
24,2,24,14,24,0
22,1,24,13,24,1
22,0,24,15,24,0
24,0,24,15,24,1
24,0,24,17,24,0
24,0,24,16,24,1
22,1,24,15,24,0
21,0,24,11,24,0
21,1,24,10,21,0
23,0,24,13,24,1
20,1,24,10,22,0
20,0,24,11,24,0
22,1,24,11,22,1
22,0,24,12,24,0
20,0,24,12,24,0
23,1,24,13,22,1
23,0,24,14,24,0
22,1,24,11,24,1
24,3,24,15,24,0
14,5,24,0,23,0
16,10,24,0,24,0
15,1,24,8,24,0
15,8,23,0,24,0
14,0,20,1,24,3
17,10,23,0,24,0
20,0,24,11,22,0
19,1,24,10,24,0
16,9,23,0,24,0
17,0,24,8,24,1
21,1,24,11,24,0
23,0,24,13,23,0
23,3,24,14,24,0
24,3,24,11,24,0
22,0,24,14,22,0
16,1,24,9,24,0
17,6,24,3,24,0
24,0,24,17,23,0
23,3,24,12,24,0
23,0,24,16,23,0
18,10,23,0,24,0
16,7,24,2,24,0
16,8,24,1,24,0
16,8,24,2,24,0
15,6,24,3,24,0
15,7,24,2,24,0
18,1,24,10,24,0
23,3,24,10,24,0
17,8,24,1,24,0
18,0,24,9,22,0
21,0,24,14,23,0
19,0,24,10,22,0
18,7,24,3,24,0
17,5,24,5,24,0
21,1,24,10,24,0
20,0,24,12,22,0
24,0,24,18,24,0
18,6,24,4,24,0
24,3,24,14,24,0
16,7,24,3,24,0
23,3,24,11,24,0
22,0,24,15,23,0
24,0,24,16,23,0
17,5,24,4,24,0
18,0,24,10,24,1
22,2,24,13,24,0
22,0,24,16,24,0
17,9,24,1,23,0
23,3,24,13,24,0
19,0,24,10,24,1
19,7,24,4,23,1
24,1,24,12,24,0
20,1,24,11,24,0
16,6,24,3,24,1
17,0,24,9,24,1
16,6,24,4,24,0
18,5,24,6,24,1
22,0,24,12,22,0
16,4,24,5,24,1
24,3,24,10,24,0
18,11,23,0,24,0
19,0,24,9,22,0
16,0,24,8,24,1
18,5,24,5,24,0
17,0,24,10,24,0
15,0,24,8,23,0
18,0,24,9,24,1
17,4,24,5,24,0
19,6,24,5,24,0
18,10,24,1,23,0
20,1,24,10,24,0
15,0,24,9,24,0
21,0,24,11,22,0
16,4,24,6,24,0
19,5,24,6,24,1
15,5,24,4,24,0
24,0,24,14,24,0
16,1,24,8,24,0
19,0,24,9,24,0
16,3,24,7,24,0
14,5,24,0,24,0
18,4,24,6,24,0
17,9,24,1,24,0
21,1,24,13,24,0
16,5,24,5,24,0
18,4,24,7,24,0
18,0,24,8,22,0
23,0,24,14,22,1
18,0,24,8,24,0
22,2,24,12,24,0
22,2,24,10,24,0
17,3,24,6,24,1
21,0,24,12,22,0
19,7,24,4,24,0
24,0,24,15,23,0
19,0,24,11,24,0
24,3,24,12,24,0
23,0,24,15,23,0
18,3,24,8,24,0
14,0,24,5,24,1
24,4,24,14,24,0
15,9,24,0,24,0
16,10,24,0,24,0
14,3,24,5,24,0
15,4,24,5,24,0
17,11,24,0,24,0
15,7,24,2,24,0
16,8,24,2,24,0
22,0,24,14,22,0
24,3,24,11,24,1
16,8,24,1,24,1
16,9,24,1,24,0
15,6,24,3,24,0
15,8,24,1,24,0
19,1,24,8,24,0
19,0,24,10,21,0
18,1,24,8,24,3
16,9,24,0,24,1
19,0,24,9,21,1
17,10,24,1,24,0
17,7,24,1,24,1
23,3,24,12,24,1
23,0,24,16,23,0
15,8,24,0,24,1
15,5,24,4,24,0
23,3,24,11,24,0
24,0,24,17,23,0
23,3,24,14,24,0
22,0,24,15,23,0
17,10,24,0,23,0
19,1,24,9,24,2
20,0,24,10,20,0
19,1,24,10,24,0
20,0,24,11,21,0
23,0,24,13,23,0
24,4,24,13,24,0
24,0,24,18,24,0
21,2,24,10,24,0
17,0,24,8,24,0
18,11,24,0,23,0
17,6,24,2,24,1
17,9,24,1,24,1
14,6,24,0,24,1
17,10,24,0,24,0
14,0,24,7,24,1
18,11,24,1,24,0
23,3,24,10,24,1
18,6,24,3,24,0
20,7,24,5,24,0
19,7,24,4,24,1
21,0,24,13,23,0
22,0,24,12,23,0
14,0,24,6,24,2
21,1,24,10,24,0
20,8,24,4,22,0
19,6,24,5,24,1
20,1,24,11,24,1
17,9,24,2,24,0
22,2,24,10,24,0
17,4,24,4,24,1
21,0,24,12,21,0
18,11,24,0,24,0
21,2,24,11,24,0
24,0,24,14,24,0
24,0,24,16,23,0
18,8,24,1,22,0
18,0,24,8,24,1
24,3,24,12,24,0
23,3,24,13,24,0
17,5,24,3,24,0
18,5,24,4,24,0
24,0,24,15,24,1
14,4,24,4,24,0
14,4,24,3,24,1
23,0,24,15,22,0
18,8,24,1,24,1
18,7,24,2,22,0
22,2,24,13,24,0
19,5,24,6,24,1
20,0,24,12,24,1
18,7,24,2,24,0
23,0,24,17,24,0
17,3,24,5,24,1
20,1,24,9,24,1
20,8,24,4,24,1
24,4,24,12,24,1
20,1,24,10,24,1
14,5,24,1,24,0
18,4,24,5,24,0
19,4,24,7,24,1
21,1,24,10,20,0
18,0,24,8,22,1
18,10,24,0,24,0
18,10,24,0,23,0
18,3,24,6,24,0
19,3,24,8,24,1
17,2,24,6,24,0
24,1,24,13,24,1
24,3,24,13,24,0
14,7,24,1,24,0
24,4,24,14,24,0
15,9,24,0,24,0
16,10,24,0,24,0
17,11,24,0,24,0
15,6,24,3,24,0
14,5,24,3,24,0
18,12,24,0,24,0
16,9,24,1,24,0
15,8,24,1,24,0
17,10,24,1,24,0
15,7,24,2,24,0
17,10,24,0,24,0
16,9,24,0,24,0
20,1,24,9,24,1
20,0,24,11,21,0
18,11,24,0,24,0
19,1,24,8,24,2
19,0,24,10,22,1
14,6,24,2,24,0
18,7,24,2,24,1
18,8,24,1,24,1
22,2,24,10,24,0
23,0,24,13,23,0
20,1,23,9,24,1
18,4,24,5,24,1
22,0,24,12,22,1
23,3,24,10,24,2
24,1,24,13,23,1
24,3,23,13,24,1
24,2,24,15,23,0
23,3,24,14,24,0
18,6,24,3,24,2
19,0,24,9,20,0
22,2,23,10,24,3
23,1,24,15,23,0
22,2,24,14,24,0
20,0,24,10,20,0
19,1,24,9,24,2
24,1,24,14,23,1
24,3,24,15,24,0
22,1,23,12,24,1
24,4,24,10,24,3
22,0,24,13,22,1
23,0,24,15,22,0
22,2,24,13,24,0
18,10,24,0,24,0
24,3,23,10,24,1
24,4,24,12,24,2
23,2,24,15,24,0
18,0,24,8,20,0
20,0,23,10,23,0
18,5,24,4,24,1
20,1,24,10,24,1
23,0,24,14,23,1
21,2,24,12,24,0
21,0,24,14,24,1
23,3,24,12,24,1
23,2,23,12,23,0
22,2,24,12,24,2
22,1,23,12,22,0
22,2,24,11,24,1
24,4,24,13,24,1
23,3,24,13,24,1
24,1,24,15,23,1
23,3,24,11,24,2
22,0,24,14,22,0
22,1,24,15,24,0
23,3,23,11,23,0
18,1,24,7,24,2
22,0,24,15,23,0
24,4,24,11,24,2
18,1,24,7,20,0
18,0,24,8,24,1
23,1,24,13,23,0
22,1,24,11,23,3
23,1,24,12,23,1
19,1,24,8,20,0
23,2,24,11,24,2
19,0,24,9,24,1
24,2,24,13,24,1
22,1,24,12,24,1
19,0,24,10,24,1
19,1,24,9,22,0
23,1,24,14,23,0
20,1,24,9,20,0
20,0,24,10,24,0
24,2,24,14,24,1
22,1,24,13,24,0
24,2,24,12,20,0
24,3,24,12,24,1
22,1,24,14,24,1
24,3,24,11,24,0
20,1,24,10,21,0
20,0,24,11,24,0
23,2,24,13,24,0
21,1,24,13,24,1
23,0,24,13,24,2
22,0,24,12,24,0
22,2,24,10,23,0
14,8,24,0,24,0
24,2,20,12,24,0
16,10,24,0,24,0
15,9,24,0,24,0
17,11,24,0,24,0
18,12,24,0,24,0
14,7,24,1,24,0
20,1,24,9,24,0
21,0,24,11,20,0
18,8,24,1,24,0
18,0,24,8,20,0
18,10,24,0,24,0
19,11,24,0,24,0
19,0,24,9,20,0
18,1,24,7,24,0
20,1,24,10,24,0
22,0,24,12,22,0
23,0,24,13,20,0
19,7,24,3,21,0
22,2,24,10,24,0
23,3,23,11,24,0
23,0,24,16,23,0
24,1,24,13,20,0
23,3,24,10,24,0
21,0,24,13,22,0
24,4,24,10,24,0
22,2,24,11,24,0
22,0,23,12,22,0
22,0,23,12,24,0
23,0,24,14,23,0
24,1,24,16,23,0
23,3,24,14,24,0
22,0,24,15,23,0
24,4,24,11,24,0
19,6,24,4,24,0
24,1,24,14,23,0
22,2,24,12,24,0
19,1,24,8,24,0
24,3,22,13,24,0
22,0,24,14,22,0
23,3,24,11,24,0
23,1,23,13,23,0
23,3,24,12,24,0
23,0,24,15,22,0
22,2,24,13,24,0
23,0,24,17,24,0
24,1,24,17,24,0
24,3,22,12,24,0
19,5,24,5,24,0
23,2,22,12,24,0
19,7,24,3,24,0
24,4,24,13,24,0
24,2,23,14,23,0
20,0,24,11,21,0
21,1,24,10,24,0
23,1,23,14,23,0
24,3,23,13,24,0
24,2,22,13,23,0
23,3,24,13,24,0
23,3,23,12,24,0
23,1,22,13,24,0
24,4,24,14,24,0
24,3,23,14,24,0
24,4,23,13,24,0
21,2,24,11,24,0
22,0,24,13,21,0
20,0,24,10,20,0
18,1,24,7,20,0
18,0,24,8,24,0
19,1,24,8,20,0
19,0,24,9,24,0
23,1,24,16,24,0
22,0,24,13,23,0
24,2,24,13,23,0
23,1,24,13,24,0
21,1,24,12,23,0
24,2,24,15,24,0
20,1,24,9,20,0
20,0,24,10,24,0
23,1,24,12,24,0
23,1,24,14,22,0
23,2,24,12,24,0
24,2,24,12,20,0
24,2,24,16,24,0
22,1,24,13,23,0
24,3,24,12,24,0
23,2,24,11,24,0
23,2,24,15,24,0
23,1,24,15,23,0
24,3,24,11,24,0
20,1,24,10,21,0
20,0,24,11,24,0
23,2,24,13,24,0
21,1,24,10,20,0
21,0,24,11,24,0
22,1,24,14,24,0
22,2,24,10,22,0
22,1,24,11,24,0
22,1,24,11,22,0
22,0,24,12,24,0
17,1,24,5,20,1
24,3,19,9,24,1
18,6,24,2,24,4
17,2,24,4,24,1
18,1,24,6,20,1
18,2,24,5,24,4
24,3,20,10,24,1
22,1,24,13,23,1
24,4,24,11,24,1
24,4,23,12,24,1
21,1,24,11,22,1
20,2,24,9,24,1
19,2,24,7,24,1
20,1,24,9,21,1
19,1,24,8,22,1
24,5,24,8,24,2
23,2,24,14,24,1
24,4,24,12,24,1
22,3,24,11,24,1
23,2,24,13,23,1
20,2,24,8,24,1
21,1,24,10,21,1
21,2,24,10,24,1
22,1,24,12,22,1
22,3,24,10,24,1
24,3,24,12,23,1
21,3,24,8,24,1
22,1,24,11,21,1
24,3,24,14,24,1
23,3,23,12,24,1
24,2,23,14,24,1
24,4,24,13,24,1
23,3,24,13,24,1
23,2,23,13,24,1
23,4,24,11,24,1
22,1,24,14,24,1
20,1,24,10,22,1
22,3,24,9,24,1
24,3,24,10,20,1
22,3,24,12,24,1
24,3,24,13,23,1
17,2,24,4,20,1
17,1,24,5,24,1
18,2,24,5,20,1
18,1,24,6,24,1
19,1,24,8,24,1
19,2,24,7,21,1
20,1,24,9,24,2
20,2,24,8,21,1
20,1,24,10,24,1
20,2,24,9,22,1
24,5,24,8,20,1
24,4,24,9,24,1
21,2,24,10,22,1
21,1,24,11,24,1
22,2,24,13,24,1
24,4,24,9,21,1
21,3,24,8,21,1
24,3,24,10,24,1
21,2,24,9,24,1
21,2,24,9,21,1
21,1,24,10,24,1
22,3,24,10,22,1
22,2,24,11,24,1
22,2,24,11,22,1
22,1,24,12,24,1
24,4,24,11,23,1
24,3,24,12,24,1
22,2,24,10,24,1
22,3,24,9,21,1
24,3,23,13,24,1
22,1,24,11,24,1
22,2,24,10,21,1
22,3,24,11,23,1
22,2,24,12,24,1
22,2,24,12,23,1
22,1,24,13,24,2
23,3,24,12,24,1
23,3,24,12,23,1
23,2,24,13,24,2
24,4,24,12,23,1
24,3,24,13,24,1
17,2,24,4,22,1
17,1,24,5,21,1
19,2,24,7,22,1
21,3,24,8,22,1
21,2,24,9,23,1
21,1,24,10,22,1
17,1,24,5,23,1
18,2,24,5,21,1
18,1,24,6,21,1
22,3,24,9,22,1
22,2,24,10,22,1
22,1,24,11,22,1
20,2,24,8,22,1
20,1,24,9,22,1
18,2,24,5,23,1
18,1,24,6,23,1
24,5,24,8,22,1
24,3,24,10,23,2
24,5,24,8,19,0
24,4,23,13,24,0
23,6,24,6,24,0
19,0,24,9,22,2
23,3,24,14,24,0
24,7,24,6,24,2
23,3,24,9,19,0
24,5,24,10,24,1
21,2,24,11,22,0
20,0,24,11,21,0
22,4,24,8,24,1
22,2,24,11,21,0
20,3,24,8,24,1
22,2,24,13,23,0
24,5,24,11,24,2
24,4,24,10,20,0
19,3,24,6,24,1
22,3,24,12,24,0
23,3,24,13,23,0
22,2,24,12,22,0
21,3,24,10,24,2
24,5,24,12,24,0
24,4,24,14,24,0
23,4,24,12,24,1
24,4,24,13,23,0
23,3,24,10,20,0
24,6,24,8,24,1
22,3,24,11,24,1
23,3,24,12,22,0
24,5,24,13,24,0
24,3,23,14,24,0
23,3,24,11,21,0
22,3,24,10,24,2
23,4,24,11,24,2
24,4,24,12,23,1
22,2,24,10,20,0
23,5,24,8,24,1
23,4,24,10,24,2
24,4,24,11,21,0
19,3,24,6,20,0
19,2,24,7,24,1
19,2,24,7,20,0
19,1,24,8,24,2
19,1,24,8,22,1
19,0,24,9,24,1
24,6,24,7,24,0
24,7,24,6,20,0
23,6,24,6,19,0
23,5,24,7,24,1
20,2,24,9,24,1
20,3,24,8,23,2
23,5,24,7,19,0
23,4,24,8,24,2
20,1,24,10,24,2
20,2,24,9,21,0
20,0,24,11,24,2
23,4,24,8,19,0
23,3,24,9,24,2
20,1,24,10,21,0
22,2,24,11,24,1
22,4,24,8,20,0
22,3,24,9,24,1
22,3,24,10,22,0
24,6,24,8,20,0
24,5,24,9,24,1
21,2,24,11,24,1
23,4,24,9,24,1
21,3,24,10,23,1
23,5,24,8,20,0
22,2,24,10,24,1
22,3,24,9,21,0
24,5,24,9,20,0
23,4,24,9,20,0
23,3,24,10,24,2
24,4,24,10,24,2
22,2,24,12,24,0
22,3,24,11,23,0
24,5,24,11,23,1
24,4,24,12,24,1
23,4,24,11,22,0
23,3,24,12,24,1
22,2,24,13,24,0
24,6,24,7,19,0
23,4,24,10,21,0
23,3,24,11,24,2
24,5,24,8,24,1
24,5,24,10,21,0
24,4,24,11,24,1
23,4,24,12,23,0
23,3,24,13,24,1
24,5,24,12,23,0
24,4,24,13,24,0
19,3,24,6,22,1
19,2,24,7,22,0
22,4,24,8,23,1
20,2,24,9,22,1
20,1,24,10,22,0
20,0,24,11,22,0
23,5,24,8,21,1
23,3,24,9,20,0
24,4,20,10,24,0
24,6,24,8,20,0
23,5,24,10,22,0
21,4,24,8,24,0
19,1,24,8,23,0
24,6,24,9,22,0
23,5,24,8,20,0
24,7,24,7,24,0
24,4,21,11,24,0
24,5,23,12,24,0
18,0,24,8,24,0
24,6,24,12,24,0
23,5,24,12,24,0
23,5,24,10,24,0
24,5,23,10,22,0
23,4,23,11,23,0
24,6,24,11,24,0
22,4,24,11,23,0
23,4,23,10,24,0
19,1,24,8,20,0
20,2,24,9,22,0
24,7,24,8,24,0
24,5,23,11,24,0
24,4,22,12,24,0
24,5,22,11,24,0
23,7,24,6,24,0
23,4,23,10,22,0
24,5,23,10,24,0
22,4,24,11,24,0
24,6,24,11,23,0
21,3,24,9,22,0
20,4,24,7,24,0
23,4,23,11,24,0
24,5,23,11,23,0
20,3,24,8,23,0
20,4,24,7,23,0
20,3,24,8,22,0
20,2,24,9,24,0
23,7,24,6,22,0
23,6,24,7,24,0
24,7,24,7,20,0
24,6,24,8,24,0
23,6,24,7,22,0
23,5,24,8,24,0
21,4,24,8,22,0
21,3,24,9,24,0
24,7,24,8,21,0
24,6,24,9,24,0
19,1,24,8,22,0
23,5,24,10,23,0
20,2,24,9,23,0
21,4,24,8,23,0
21,3,24,9,23,0
23,4,23,10,23,0
24,5,23,10,23,1
24,7,24,8,22,0
23,5,24,8,21,0
24,7,24,8,23,0
24,6,24,9,23,0
24,7,24,7,21,0
24,6,24,8,21,0
23,5,24,8,22,0
23,7,24,6,23,0
23,6,24,7,23,0
23,5,24,8,23,0
24,7,24,7,22,0
24,6,24,8,22,0
24,7,24,7,23,0
24,6,24,8,23,0
23,2,15,6,24,0
23,11,24,2,21,0
23,2,20,11,24,0
23,6,24,8,21,0
22,6,24,6,24,0
23,5,22,10,24,0
23,6,24,9,22,0
20,5,24,6,24,1
23,2,17,8,24,0
22,5,24,7,20,0
23,9,24,4,24,0
23,1,18,10,24,0
23,5,23,11,24,0
23,5,23,9,24,0
23,6,24,10,23,0
19,4,24,6,22,1
23,7,24,7,24,1
23,5,23,10,23,0
23,6,24,10,24,0
23,6,24,11,24,0
23,1,19,11,24,0
22,5,24,11,24,0
23,2,19,10,24,0
23,5,23,9,22,0
21,4,24,9,24,0
23,5,23,10,24,0
22,5,24,9,22,0
23,6,24,9,24,0
19,4,24,6,24,1
20,3,24,8,23,0
21,4,24,9,22,0
22,5,24,9,24,0
23,10,24,3,20,0
23,11,24,2,24,0
22,6,24,6,20,0
22,5,24,7,24,0
20,5,24,6,21,0
20,4,24,7,24,0
20,4,24,7,21,0
20,3,24,8,24,0
23,7,24,7,21,0
23,6,24,8,24,0
23,9,24,4,20,0
23,10,24,3,24,0
20,5,24,6,22,1
20,4,24,7,22,0
19,4,24,6,23,0
23,5,23,9,23,0
21,4,24,9,23,0
22,5,24,9,23,0
20,5,24,6,23,0
20,4,24,7,23,0
23,6,24,9,23,0
23,7,24,7,22,0
23,6,24,8,22,0
22,6,24,6,21,0
22,5,24,7,21,0
23,7,24,7,23,0
23,6,24,8,23,0
22,6,24,6,22,0
22,5,24,7,22,0
23,10,24,3,21,0
23,9,24,4,21,0
22,6,24,6,23,0
22,5,24,7,23,0
23,11,24,2,22,0
23,10,24,3,22,0
23,9,24,4,22,0
23,11,24,2,23,0
23,10,24,3,23,0
23,9,24,4,23,0
23,0,14,0,24,0
24,1,16,9,24,0
22,0,14,0,24,0
23,1,14,0,24,0
23,0,14,1,24,0
22,1,14,0,24,1
24,3,14,0,24,0
23,0,14,2,24,0
23,2,14,0,24,0
22,0,14,1,24,1
24,0,14,3,24,0
24,4,14,0,23,0
24,5,14,0,23,0
24,0,14,4,24,0
24,0,15,9,24,0
24,0,14,5,23,0
24,6,14,0,22,0
24,1,15,8,24,0
24,0,14,8,24,0
24,5,14,2,23,0
24,0,14,6,24,0
24,2,14,1,24,0
24,1,14,2,24,0
24,4,14,4,24,0
23,1,14,1,24,0
24,0,14,7,24,0
24,3,14,1,23,0
24,4,14,0,24,0
24,2,14,2,23,0
24,3,14,1,24,1
24,4,14,1,23,0
24,5,14,0,24,0
24,0,14,4,23,0
24,1,14,3,24,0
24,1,14,7,24,0
24,3,14,2,23,0
24,4,14,1,24,0
24,1,14,3,23,0
24,2,14,2,24,0
24,6,14,0,24,0
24,5,14,1,22,0
24,2,14,3,23,1
24,3,14,2,24,0
24,1,14,4,24,0
24,2,14,6,24,0
24,5,14,1,24,1
24,4,14,2,22,0
24,3,14,5,24,0
24,1,14,4,23,0
24,2,14,3,24,0
24,1,14,5,24,2
24,0,14,6,22,0
24,4,14,2,24,0
24,3,14,3,22,0
24,0,14,7,23,0
24,1,14,6,24,1
24,3,14,3,24,0
24,2,14,4,22,0
24,2,14,4,24,0
24,1,14,5,22,0
24,4,14,3,23,0
24,5,14,2,24,0
24,3,14,4,23,0
24,4,14,3,24,0
24,1,14,6,23,0
24,2,14,5,24,0
24,2,14,5,23,0
24,3,14,4,24,0
24,0,14,6,23,0
24,1,14,5,23,0
24,2,14,4,23,0
24,3,14,3,23,1
24,4,14,2,23,0
24,5,14,1,23,0
24,6,14,0,23,0
21,0,15,1,19,0
24,1,14,7,24,0
24,2,14,2,24,0
24,0,15,4,24,0
22,0,15,2,19,0
21,0,15,1,24,0
23,0,15,3,19,0
22,0,15,2,24,0
24,2,14,3,24,0
24,0,14,4,24,0
24,0,15,4,19,0
23,0,15,3,24,0
24,1,14,6,24,0
24,0,14,5,24,0
24,1,14,5,24,0
24,0,14,6,24,0
24,1,14,3,24,0
24,1,14,4,24,0
21,0,15,1,21,0
22,0,15,2,21,0
21,0,15,1,20,0
23,0,15,3,21,0
22,0,15,2,20,0
21,0,15,1,22,0
24,0,15,4,21,0
23,0,15,3,20,0
22,0,15,2,22,0
24,0,15,4,20,0
23,0,15,3,22,0
24,0,15,4,22,0
21,0,15,1,23,0
22,0,15,2,23,0
23,0,15,3,23,0
24,0,15,4,23,0
24,2,17,9,24,0
19,1,23,6,24,0
24,4,14,1,24,0
24,0,15,5,24,0
24,2,15,3,20,0
24,3,14,3,24,0
24,3,14,4,24,0
24,3,14,2,24,0
24,2,14,6,24,0
24,1,16,9,24,0
24,0,15,9,24,0
24,1,15,8,24,0
24,0,14,8,24,0
24,1,14,7,24,0
24,1,15,4,20,0
24,2,15,3,24,0
24,0,15,5,20,0
24,1,15,4,24,0
24,2,15,3,21,0
24,1,15,4,21,1
24,0,15,5,21,0
24,2,15,3,22,0
24,1,15,4,22,0
24,0,15,5,22,0
24,2,15,3,23,0
24,1,15,4,23,0
24,0,15,5,23,0
24,2,19,11,24,0
23,3,18,4,20,0
24,3,15,6,24,0
24,0,15,5,24,1
24,5,19,4,20,0
23,1,18,6,24,0
24,2,15,7,24,0
24,0,15,9,24,0
24,1,15,4,24,1
24,1,16,9,24,0
24,1,17,10,24,0
24,1,16,5,24,0
24,1,17,6,20,0
24,1,18,7,24,1
24,1,18,11,24,0
24,2,18,6,20,0
24,2,19,7,24,0
24,1,16,5,20,0
24,1,17,6,24,0
24,2,18,10,24,0
24,2,17,9,24,0
24,0,16,10,24,0
24,4,19,5,20,0
24,5,19,4,24,0
24,1,15,8,24,0
23,2,18,5,20,0
23,3,18,4,24,1
24,3,19,6,20,0
24,4,19,5,24,2
23,1,18,6,20,0
23,2,18,5,24,0
24,2,19,7,20,0
24,3,19,6,24,0
24,0,15,5,20,0
24,1,18,7,20,0
24,2,18,6,24,1
24,0,15,5,21,1
24,1,16,5,21,0
24,1,17,6,21,0
23,2,18,5,21,0
23,1,18,6,21,1
23,3,18,4,21,0
24,2,18,6,21,1
24,1,18,7,21,0
24,5,19,4,21,1
24,4,19,5,21,1
24,3,19,6,21,0
24,2,19,7,21,1
24,0,15,5,22,1
24,1,16,5,22,0
24,1,17,6,22,0
23,2,18,5,22,0
23,1,18,6,22,1
23,3,18,4,22,0
24,2,18,6,22,1
24,1,18,7,22,1
24,5,19,4,22,1
24,4,19,5,22,0
24,3,19,6,22,0
24,2,19,7,22,1
24,0,15,5,23,1
24,1,16,5,23,0
24,1,17,6,23,1
23,1,18,6,23,1
23,3,18,4,23,0
23,2,18,5,23,0
24,2,18,6,23,1
24,1,18,7,23,1
24,5,19,4,23,1
24,4,19,5,23,2
24,3,19,6,23,1
24,2,19,7,23,1
24,12,24,2,24,0
24,3,23,14,24,0
24,0,14,6,24,1
24,0,14,4,24,1
24,0,15,7,24,0
24,0,14,7,24,1
24,10,24,4,24,0
24,11,24,3,24,0
24,0,14,8,24,0
24,4,24,10,24,2
24,2,20,11,24,0
24,0,15,8,24,1
24,1,18,10,24,0
24,5,23,8,24,1
24,4,22,8,24,2
24,3,23,10,24,1
24,3,22,9,24,1
24,1,16,5,24,1
24,1,15,4,20,0
24,4,21,7,20,0
24,0,14,4,20,0
24,0,15,5,24,1
24,2,21,9,24,1
24,2,20,8,24,0
24,3,19,6,20,0
24,1,18,7,24,0
24,2,17,5,20,0
24,4,20,6,21,0
24,0,15,9,24,0
24,2,19,7,24,1
24,3,18,5,20,0
24,1,18,11,24,0
24,1,17,6,24,1
24,2,16,4,20,0
24,0,16,9,24,0
24,1,17,9,24,0
24,2,21,13,24,0
24,1,19,11,24,0
24,2,19,10,24,0
24,0,17,10,24,0
24,1,17,10,24,0
24,0,16,10,24,0
24,1,16,8,24,0
24,2,20,11,23,0
24,2,20,12,24,0
24,1,19,12,24,0
24,2,22,14,24,0
24,3,22,13,24,0
24,0,17,11,24,0
24,1,16,9,24,0
24,1,20,13,24,0
24,2,19,11,24,0
24,1,16,5,20,0
24,2,16,4,24,0
24,3,18,5,24,0
24,2,18,6,20,0
24,4,23,9,24,1
24,4,20,6,24,0
24,2,17,5,24,0
24,3,20,7,20,0
24,3,21,8,24,2
24,1,17,6,20,0
24,4,21,7,24,1
24,0,15,5,20,0
24,1,15,4,24,1
24,3,19,6,24,0
24,2,19,7,20,0
24,2,18,6,24,0
24,1,18,7,21,0
24,2,20,8,20,0
24,3,20,7,24,2
24,1,16,5,22,0
24,2,20,8,22,0
24,2,16,4,22,1
24,1,17,6,22,0
24,2,17,5,22,0
24,2,18,6,22,0
24,3,18,5,22,0
24,1,18,7,22,0
24,3,19,6,22,0
24,2,19,7,22,0
24,4,20,6,22,0
24,3,20,7,22,0
24,0,14,4,21,1
24,1,15,4,21,0
24,0,15,5,21,0
24,2,16,4,21,0
24,1,17,6,21,0
24,2,17,5,21,0
24,3,18,5,21,0
24,2,18,6,21,0
24,0,14,4,22,1
24,3,19,6,21,0
24,2,19,7,21,0
24,1,15,4,22,0
24,0,15,5,22,0
24,3,20,7,21,0
24,0,14,4,23,0
24,1,15,4,23,0
24,0,15,5,23,0
24,4,24,14,24,0
22,1,21,9,21,0
24,0,14,6,24,0
24,0,14,5,24,2
24,0,14,7,24,0
23,10,24,4,24,0
24,7,24,8,24,0
23,2,21,9,24,0
22,2,20,7,24,2
24,1,18,10,24,0
24,0,14,8,24,0
23,7,24,7,24,0
24,0,15,8,24,1
24,1,17,9,24,0
24,2,20,12,24,0
24,0,15,9,24,0
24,1,18,11,24,0
24,2,19,11,24,0
24,2,22,14,24,0
24,1,16,9,24,0
24,3,23,14,24,0
24,0,16,9,24,0
24,1,16,8,24,0
24,1,17,10,24,0
24,5,23,9,24,0
24,6,24,9,24,0
24,3,22,13,24,0
24,0,17,11,24,0
23,6,24,8,21,0
24,3,24,12,24,0
24,3,24,15,24,0
24,2,21,10,24,0
24,3,23,11,24,0
24,2,18,7,22,0
24,2,19,8,24,0
23,3,24,11,24,0
23,3,21,8,21,0
23,3,22,9,24,0
24,3,20,8,22,0
24,4,22,9,21,0
23,4,22,8,22,0
23,5,24,9,24,0
23,4,23,9,24,0
24,1,16,6,21,0
24,1,17,7,24,1
23,4,23,9,21,0
24,1,15,5,22,1
24,1,16,6,24,0
24,4,21,8,22,0
